,question,answer,model_answer,label
0,enormously,tremendously,tremendously,correct
1,provisions,stipulations,stipulations,correct
2,haphazardly,randomly,randomly,correct
3,prominent,conspicuous,conspicuous,correct
4,zenith,pinnacle,pinnacle,correct
5,flawed,imperfect,imperfect,correct
6,urgently,desperately,desperately,correct
7,consumed,eaten,eaten,correct
8,advent,coming,coming,correct
9,concisely,succinctly,succinctly,correct
10,salutes,greetings,ceremonies,wrong
11,solitary,alone,restless,wrong
12,hasten,accelerate,accelerate,correct
13,perseverance,endurance,generosity,wrong
14,fanciful,imaginative,imaginative,correct
15,showed,demonstrated,demonstrated,correct
16,constantly,continually,continually,correct
17,issues,subjects,subjects,correct
18,furnish,supply,impress,wrong
19,costly,expensive,expensive,correct
20,recognized,acknowledged,acknowledged,correct
21,spot,location,location,correct
22,make,earn,earn,correct
23,often,frequently,frequently,correct
24,easygoing,relaxed,relaxed,correct
25,debate,argument,argument,correct
26,narrow,thin,thin,correct
27,arranged,planned,planned,correct
28,infinite,limitless,limitless,correct
29,showy,striking,prickly,wrong
30,levied,imposed,imposed,correct
31,deftly,skillfully,skillfully,correct
32,distribute,circulate,commercialize,wrong
33,discrepancies,differences,differences,correct
34,prolific,productive,productive,correct
35,unmatched,unequaled,unequaled,correct
36,peculiarly,uniquely,uniquely,correct
37,hue,color,color,correct
38,hind,rear,rear,correct
39,highlight,accentuate,accentuate,correct
40,hastily,hurriedly,hurriedly,correct
41,temperate,mild,mild,correct
42,grin,smile,smile,correct
43,verbally,orally,orally,correct
44,physician,doctor,doctor,correct
45,essentially,basically,basically,correct
46,keen,sharp,useful,wrong
47,situated,positioned,positioned,correct
48,principal,major,major,correct
49,slowly,gradually,gradually,correct
50,built,constructed,constructed,correct
51,tasks,jobs,jobs,correct
52,unlikely,improbable,improbable,correct
53,halfheartedly,apathetically,apathetically,correct
54,annals,chronicles,chronicles,correct
55,wildly,furiously,furiously,correct
56,hailed,acclaimed,remembered,wrong
57,command,mastery,mastery,correct
58,concocted,devised,devised,correct
59,prospective,potential,potential,correct
60,generally,broadly,broadly,correct
61,sustained,prolonged,prolonged,correct
62,perilous,dangerous,dangerous,correct
63,tranquillity,peacefulness,harshness,guess
64,dissipate,disperse,disperse,correct
65,primarily,chiefly,chiefly,correct
66,colloquial,conversational,conversational,correct
67,resolved,settled,settled,correct
68,feasible,possible,possible,correct
69,expeditiously,rapidly,rapidly,correct
70,percentage,proportion,proportion,correct
71,terminated,ended,postponed,wrong
72,uniform,alike,alike,correct
73,figure,solve,solve,correct
74,sufficient,enough,enough,correct
75,fashion,manner,manner,correct
76,marketed,sold,sold,correct
77,bigger,larger,larger,correct
78,roots,origins,origins,correct
79,normally,ordinarily,ordinarily,correct
