,question,answer,model_answer,label
0,enormously,tremendously,tremendously,correct
1,provisions,stipulations,jurisdictions,wrong
2,haphazardly,randomly,densely,wrong
3,prominent,conspicuous,mysterious,wrong
4,zenith,pinnacle,pinnacle,correct
5,flawed,imperfect,imperfect,correct
6,urgently,desperately,desperately,correct
7,consumed,eaten,eaten,correct
8,advent,coming,coming,correct
9,concisely,succinctly,succinctly,correct
10,salutes,greetings,greetings,correct
11,solitary,alone,restless,wrong
12,hasten,accelerate,accelerate,correct
13,perseverance,endurance,endurance,correct
14,fanciful,imaginative,imaginative,correct
15,showed,demonstrated,demonstrated,correct
16,constantly,continually,continually,correct
17,issues,subjects,benefits,wrong
18,furnish,supply,advise,wrong
19,costly,expensive,expensive,correct
20,recognized,acknowledged,acknowledged,correct
21,spot,location,location,correct
22,make,earn,trade,wrong
23,often,frequently,frequently,correct
24,easygoing,relaxed,relaxed,correct
25,debate,argument,election,wrong
26,narrow,thin,clear,wrong
27,arranged,planned,planned,correct
28,infinite,limitless,limitless,correct
29,showy,striking,incidental,wrong
30,levied,imposed,imposed,correct
31,deftly,skillfully,humorously,wrong
32,distribute,circulate,commercialize,wrong
33,discrepancies,differences,differences,correct
34,prolific,productive,promising,wrong
35,unmatched,unequaled,unrecognized,wrong
36,peculiarly,uniquely,uniquely,guess
37,hue,color,color,correct
38,hind,rear,hairy,wrong
39,highlight,accentuate,alter,wrong
40,hastily,hurriedly,hurriedly,correct
41,temperate,mild,windy,wrong
42,grin,smile,smile,correct
43,verbally,orally,overtly,wrong
44,physician,doctor,nurse,wrong
45,essentially,basically,basically,correct
46,keen,sharp,sharp,correct
47,situated,positioned,positioned,correct
48,principal,major,most,wrong
49,slowly,gradually,gradually,correct
50,built,constructed,constructed,correct
51,tasks,jobs,materials,wrong
52,unlikely,improbable,different,wrong
53,halfheartedly,apathetically,bipartisanly,guess
54,annals,chronicles,chronicles,correct
55,wildly,furiously,furiously,correct
56,hailed,acclaimed,acclaimed,correct
57,command,mastery,observation,wrong
58,concocted,devised,devised,correct
59,prospective,potential,potential,correct
60,generally,broadly,accurately,wrong
61,sustained,prolonged,prolonged,correct
62,perilous,dangerous,binding,wrong
63,tranquillity,peacefulness,harshness,wrong
64,dissipate,disperse,disperse,correct
65,primarily,chiefly,occasionally,wrong
66,colloquial,conversational,conversational,correct
67,resolved,settled,settled,correct
68,feasible,possible,equitable,wrong
69,expeditiously,rapidly,rapidly,correct
70,percentage,proportion,profit,wrong
71,terminated,ended,postponed,wrong
72,uniform,alike,hard,wrong
73,figure,solve,list,wrong
74,sufficient,enough,enough,correct
75,fashion,manner,craze,wrong
76,marketed,sold,sold,correct
77,bigger,larger,larger,correct
78,roots,origins,origins,correct
79,normally,ordinarily,permanently,wrong
